ID,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,Salary
1259836,m,26-02-1992,85,state board,2014,81,state board,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2021,330000
634352,f,04-04-1990,83.6,cbse,2008,74,cbse,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2021,450000
628753,m,22-12-1991,82.5,cbse,2014,85,state board,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2021,315000
1036215,m,03-05-1992,63.5,state board,2018,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2022,220000
955352,m,08-12-1991,64,cbse,2018,62,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2022,180000
1038837,m,21-09-1990,73,cbse,2008,76,cbse,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2021,60000
309954,m,08-12-1991,91,rajasthan board of secondary education,2008,83,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,71,5050,0,Rajasthan,2020,165000
542950,m,21-08-1991,66.5,state board,2008,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2021,145000
781196,m,09-02-1991,78.4,cbse,2014,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2021,100000
1269557,m,30-07-1990,52.93,state board,2008,64,state board,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2022,240000
1230200,m,12-07-1990,65,state board,2008,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2022,300000
908780,f,14-10-1993,93,state board,2018,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2022,150000
982729,m,24-02-1993,53.4,cbse,2018,66,cbse,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2022,240000
355322,m,03-06-1991,71.5,uttar pradesh,2007,60,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2020,240000
730991,m,07-10-1990,81.5,state board,2014,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2021,310000
326762,m,26-07-1991,63,cbse,2008,66,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2020,450000
744799,m,01-06-1992,87.5,state board,2014,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2021,300000
661812,f,23-09-1991,71,wbbse,2014,68,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2021,95000
818701,m,15-12-1989,66,state board,2006,61,state board,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2020,335000
1063653,m,14-11-1991,74,cbse,2014,63,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2021,110000
640037,f,22-06-1991,89.44,state board,2014,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2021,200000
906284,m,26-07-1993,76,cbse,2018,64,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2022,310000
330544,m,25-02-1991,77,state board,2008,75,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2020,200000
335906,f,24-05-1991,90.33,board of secondary education - andhra pradesh,2008,88.6,"board fo intermediate education, ap",1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2020,300000
657409,m,08-01-1992,76.5,state board,2014,84,state board,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2021,75000
271549,m,26-02-1989,70,mp,2007,60,cbse,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2019,330000
964017,m,14-02-1993,78,state board,2018,87.1,state board,1428,2,B.Tech/B.E.,information technology,65,1428,1,Telangana,2022,140000
1066577,m,18-10-1992,89.5,state board,2018,73.4,state board,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2022,320000
87319,m,27-10-1986,56.4,0,2006,72,0,403,2,B.Tech/B.E.,mechanical engineering,64,403,0,Madhya Pradesh,2018,1210000
962441,m,10-08-1992,88.67,state board,2014,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2022,700000
335296,m,17-08-1989,58.33,up,2007,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2020,120000
833277,m,28-02-1991,64,cbse,2014,66,cbse,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2022,200000
239756,m,10-04-1989,85.92,karnataka,2007,79.87,karnataka state,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2019,315000
610635,f,24-01-1991,81.4,cbse,2008,74,cbse,7700,1,B.Tech/B.E.,computer science & engineering,76.24,7700,1,Delhi,2021,200000
754392,m,18-02-1992,76,state board,2014,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2021,120000
1242113,m,03-06-1992,66.7,state board,2014,54.2,state board,6545,2,B.Tech/B.E.,instrumentation engineering,66.93,6545,0,Uttar Pradesh,2022,240000
1084099,m,19-12-1990,72,state board,2008,60,state board,8946,2,B.Tech/B.E.,computer science & engineering,63,8946,1,Telangana,2021,295000
435378,m,08-04-1990,82,0,2008,62.3,0,11982,2,B.Tech/B.E.,mechanical engineering,61,11982,0,Orissa,2020,360000
982410,m,05-07-1992,58,state board,2014,62,state board,184,2,B.Tech/B.E.,computer science & engineering,70.68,184,0,Uttar Pradesh,2022,180000
1251678,m,23-12-1990,77,cbse,2007,78,cbse,6884,2,B.Tech/B.E.,computer science & engineering,75.03,6884,0,West Bengal,2021,100000
920550,f,10-08-1993,75.6,cbse,2018,83.2,cbse,55,2,B.Tech/B.E.,computer science & engineering,71.1,55,0,Uttar Pradesh,2022,160000
1219078,m,17-07-1991,92.2,icse,2014,75.6,cbse,11154,2,B.Tech/B.E.,computer science & engineering,81.5,11154,1,West Bengal,2022,325000
333542,f,12-11-1990,84.5,ssc,2008,94.1,board of intermediate education,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2020,400000
619605,m,28-06-1991,89.4,cbse,2014,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2021,475000
921298,m,28-05-1993,76.2,cbse,2018,88,state board,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2022,180000
1261333,m,16-05-1992,86.5,state board,2018,82.5,state board,473,2,B.Tech/B.E.,information technology,61.86,473,1,Maharashtra,2022,300000
52923,m,16-08-1989,75.83,ssc,2006,68.83,hsc,472,2,B.Tech/B.E.,information technology,55.6,472,1,Maharashtra,2018,465000
79007,m,26-08-1987,80.6,icse,2005,91,icse,137,2,B.Tech/B.E.,information technology,73.06,137,0,Uttar Pradesh,2018,505000
263901,f,16-01-1990,78,0,2007,68,0,2513,2,B.Tech/B.E.,computer engineering,68,2513,0,Rajasthan,2019,380000
552730,f,07-03-1992,69,cbse,2014,72.2,cbse,7542,2,B.Tech/B.E.,computer science & engineering,69.78,7542,1,Delhi,2021,375000
604198,m,09-03-1990,83.2,cbse,2008,72.3,cbse,28,2,B.Tech/B.E.,computer science & engineering,68,28,1,Delhi,2021,350000
282000,m,23-03-1989,76,uttar pradesh board,2006,75,uttar pradesh board,4450,2,B.Tech/B.E.,information technology,65.48,4450,0,Uttar Pradesh,2019,315000
1069526,m,12-04-1991,90.6,state board,2014,79.3,state board,5752,2,B.Tech/B.E.,computer science & engineering,65.7,5752,1,Telangana,2021,200000
810018,m,21-09-1992,63,icse,2018,62,cbse,350,2,B.Tech/B.E.,information technology,62.44,350,0,Uttar Pradesh,2022,180000
1262987,m,04-12-1992,63,state board,2018,63,state board,15807,2,B.Tech/B.E.,mechanical engineering,63,15807,1,Telangana,2022,260000
53921,m,25-03-1988,75.4,cbse,2004,68.2,cbse,83,2,B.Tech/B.E.,information technology,80,83,0,Uttar Pradesh,2018,1110000
1098849,m,05-11-1991,75.85,state board,2014,77.2,state board,992,2,B.Tech/B.E.,information technology,80,992,1,Gujarat,2021,180000
133296,m,20-12-1988,66,rbse,2006,55,rbse,4948,2,B.Tech/B.E.,computer engineering,66,4948,1,Rajasthan,2018,145000
878844,m,18-03-1993,50,cbse,2018,57,cbse,9738,2,B.Tech/B.E.,information technology,65.06,9738,0,Uttar Pradesh,2022,120000
879261,m,24-03-1987,76.66,state board,2004,64.33,state board,3496,2,B.Tech/B.E.,mechanical engineering,72.02,3496,0,Maharashtra,2020,95000
530147,m,07-11-1993,90.4,cbse,2014,84.6,cbse,11759,2,B.Tech/B.E.,mechanical engineering,83.5,11759,0,Uttarakhand,2021,205000
815714,f,09-10-1991,90.8,cbse,2014,82.6,cbse,5717,2,B.Tech/B.E.,computer science & engineering,64.66,5717,0,Maharashtra,2021,280000
1290109,m,04-11-1990,82.67,state board,2008,74.92,state board,12737,2,B.Tech/B.E.,computer engineering,61.36,12737,1,Rajasthan,2022,215000
1058583,m,31-03-1990,74.6,state board,2007,81.6,state board,3720,2,B.Tech/B.E.,computer science & engineering,67.8,3720,0,Madhya Pradesh,2019,350000
390616,m,07-10-1990,61.73,ssc,2008,60,hsc,7495,2,B.Tech/B.E.,computer engineering,63.33,7495,0,Maharashtra,2020,190000
283428,m,05-04-1990,78,cbse,2007,63,cbse,374,2,B.Tech/B.E.,information technology,68.1,374,0,Uttar Pradesh,2019,520000
359993,m,20-05-1990,72,state board,2007,60,state board,1245,2,B.Tech/B.E.,computer engineering,64,1245,1,Tamil Nadu,2020,220000
831320,m,20-05-1993,87.7,state board,2018,95.2,state board,9748,2,B.Tech/B.E.,information technology,69.96,9748,1,Telangana,2022,200000
1199988,m,17-06-1993,80.8,state board,2018,81.5,state board,12867,2,B.Tech/B.E.,computer science & engineering,74,12867,0,Andhra Pradesh,2022,100000
324330,m,22-01-1990,77.6,maharastra board,2008,59,maharashtra board,993,2,B.Tech/B.E.,information technology,58.66,993,1,Maharashtra,2020,120000
1112865,m,04-09-1992,87,state board,2018,79,state board,14697,2,B.Tech/B.E.,electronics & telecommunications,70,14697,0,Maharashtra,2022,315000
305041,f,18-01-1990,89.8,cbse,2007,83.8,cbse,5232,2,B.Tech/B.E.,computer engineering,70,5232,0,Haryana,2019,480000
1062173,m,29-06-1992,80,state board,2014,89,state board,4557,2,B.Tech/B.E.,computer science & engineering,62,4557,1,Telangana,2021,145000
327623,m,27-09-1990,84,cbse,2008,83,cbse,7542,2,B.Tech/B.E.,information technology,74.5,7542,1,Delhi,2020,450000
454921,m,30-10-1988,82,0,2008,60,0,272,2,B.Tech/B.E.,information technology,80,272,0,Punjab,2020,320000
283164,m,15-06-1989,70,icse,2006,73.8,isc,4234,2,B.Tech/B.E.,computer engineering,70.13,4234,0,Uttar Pradesh,2019,715000
1238094,m,09-09-1990,59.57,state board,2007,55,state board,272,2,M.Tech./M.E.,computer science & engineering,88,272,0,Punjab,2015,145000
470741,f,06-08-1990,67.8,0,2008,65.2,0,12184,2,B.Tech/B.E.,computer engineering,72.18,12184,0,Madhya Pradesh,2020,180000
1088859,m,27-06-1992,82.4,icse,2018,81.2,icse,8159,2,B.Tech/B.E.,information technology,69,8159,0,Uttar Pradesh,2022,75000
431891,f,09-10-1989,79,icse,2008,74.6,cbse,5232,2,B.Tech/B.E.,computer engineering,71.2,5232,0,Haryana,2020,280000
272323,f,24-08-1989,81.2,cbse,2007,82.8,cbse,11537,2,B.Tech/B.E.,computer engineering,73,11537,0,Uttar Pradesh,2019,390000
1008832,m,28-06-1992,73.5,state board,2014,71,state board,6518,2,B.Tech/B.E.,mechanical engineering,71,6518,0,Uttar Pradesh,2021,325000
794755,f,05-04-1992,91.6,icse,2018,90.2,cbse,13439,2,B.Tech/B.E.,computer science & engineering,74,13439,0,Jharkhand,2022,450000
535627,m,17-12-1992,86,cbse,2018,83.8,cbse,12290,2,B.Tech/B.E.,information technology,77,12290,0,Himachal Pradesh,2022,505000
294861,m,12-12-1988,86,tn state board,2006,82,tn state board,431,2,B.Tech/B.E.,information technology,71,431,0,Tamil Nadu,2018,200000
919485,m,28-02-1993,86,cbse,2018,74.44,cbse,7376,2,B.Tech/B.E.,computer science & engineering,73.38,7376,0,Uttar Pradesh,2022,450000
319780,f,23-01-1989,89,cbse,2006,78,cbse,6038,2,B.Tech/B.E.,computer engineering,73.14,6038,0,Uttar Pradesh,2019,310000
190589,f,20-04-1987,87.4,cbse,2005,83,cbse,4441,1,B.Tech/B.E.,biotechnology,71,4441,0,Madhya Pradesh,2019,450000
31330,m,29-05-1986,78,cbse,2004,83,cbse,2,1,B.Tech/B.E.,information technology,72.13,2,1,Delhi,2018,600000
1288243,m,18-08-1992,81,cbse,2020,73,cbse,23,2,B.Tech/B.E.,information technology,61.6,23,0,Uttar Pradesh,2022,360000
662316,m,19-12-1990,55,state board,2014,68,state board,10881,2,B.Tech/B.E.,computer engineering,74.9,10881,1,West Bengal,2021,180000
928178,m,08-10-1991,64.8,state board,2014,69.4,state board,7736,2,B.Tech/B.E.,information technology,73.8,7736,0,Chhattisgarh,2021,240000
1044834,m,26-09-1993,83.5,cbse,2018,87.2,cbse,7542,2,B.Tech/B.E.,computer science & engineering,79.95,7542,1,Delhi,2022,350000
1255815,m,21-08-1993,71.1,cbse,2019,64.5,state board,14169,2,B.Tech/B.E.,mechanical engineering,60.05,14169,0,Uttar Pradesh,2015,150000
1293567,m,27-05-1992,91.4,icse,2018,81.2,cbse,11848,1,B.Tech/B.E.,computer science & engineering,73,11848,0,Bihar,2015,150000
449905,f,12-10-1990,78,cbse,2008,79.4,cbse,4450,2,B.Tech/B.E.,computer engineering,76.76,4450,0,Uttar Pradesh,2020,455000
258837,m,28-07-1988,80,rbse,2005,75,rbse,11444,2,B.Tech/B.E.,electrical engineering,71.56,11444,0,Rajasthan,2019,350000
336787,f,03-06-1991,89,0,2008,94.16,0,3076,2,B.Tech/B.E.,information technology,89.2,3076,0,Tamil Nadu,2020,385000
509967,m,23-07-1990,87.33,rbse,2008,82.46,rbse,11444,2,B.Tech/B.E.,mechanical engineering,73.83,11444,0,Rajasthan,2020,440000
325423,m,16-11-1989,78.93,0,2008,65,0,7172,2,B.Tech/B.E.,computer engineering,67.63,7172,0,Maharashtra,2020,355000
823924,m,01-09-1991,80.6,cbse,2014,74.6,cbse,17205,2,B.Tech/B.E.,computer science & engineering,57.5,17205,0,Punjab,2022,180000
803778,m,24-04-1992,69.5,state board,2008,68.5,state board,7770,2,B.Tech/B.E.,information technology,69.9,7770,0,Madhya Pradesh,2021,2000000
1125281,m,01-11-1991,85,state board,2014,85.6,state board,8819,2,M.Tech./M.E.,computer science & engineering,80,8819,1,Telangana,2015,120000
133803,f,06-03-1987,67.25,wbbse,2014,63.4,wbchse,2066,2,B.Tech/B.E.,electrical engineering,69.97,2066,1,West Bengal,2018,240000
1244355,m,08-06-1992,88.2,cbse,2018,80.8,cbse,15866,2,B.Tech/B.E.,computer science & engineering,70,15866,0,Haryana,2022,325000
1204764,m,23-01-1993,76.2,cbse,2018,63.8,cbse,2783,2,B.Tech/B.E.,computer science & engineering,66,2783,0,Rajasthan,2022,100000
1187199,m,22-12-1988,67.2,cbse,2007,58.6,cbse,3879,2,B.Tech/B.E.,information technology,66.6,3879,0,Madhya Pradesh,2020,180000
1083692,m,12-03-1993,76,cbse,2019,66.66,cbse,12374,2,B.Tech/B.E.,mechanical engineering,65,12374,0,Punjab,2015,250000
662630,m,20-11-1991,56,cbse,2014,63,cbse,9072,2,B.Tech/B.E.,electronics & telecommunications,65,9072,0,Orissa,2021,220000
768298,m,17-08-1993,90.2,cbse,2019,84.8,cbse,229,1,B.Tech/B.E.,computer engineering,66.23,229,1,Maharashtra,2015,1500000
212018,f,11-01-1988,75.6,0,2006,77,0,5690,2,B.Tech/B.E.,mechanical engineering,70.66,5690,0,Uttar Pradesh,2019,275000
997622,m,14-09-1993,83.68,state board,2018,84.5,state board,904,2,B.Tech/B.E.,computer science & engineering,72.3,904,1,Karnataka,2022,500000
856638,m,01-06-1993,84.4,cbse,2014,76,cbse,226,2,B.Tech/B.E.,mechanical engineering,63,226,1,Maharashtra,2021,185000
514622,m,13-09-1990,72,0,2007,72,0,6271,2,B.Tech/B.E.,information technology,70.5,6271,0,Uttarakhand,2020,490000
390024,m,24-01-1991,73,0,2008,57.8,0,10342,2,B.Tech/B.E.,computer engineering,58,10342,1,Karnataka,2020,225000
336591,f,30-06-1991,83,0,2008,66,0,3427,2,B.Tech/B.E.,mechanical engineering,78,3427,0,Orissa,2020,330000
593198,m,10-11-1991,74,board secondary  education,2014,81,baord of intermediate education,12210,2,B.Tech/B.E.,aeronautical engineering,67.1,12210,1,Telangana,2021,120000
817070,m,05-06-1989,77.86,state board,2006,64.33,state board,4795,2,M.Tech./M.E.,computer science & engineering,70,4795,0,Maharashtra,2021,525000
1183033,f,10-02-1993,89,state board,2018,90.6,state board,5338,2,B.Tech/B.E.,computer science & engineering,70.4,5338,0,Andhra Pradesh,2022,305000
894646,m,12-05-1993,85,state board,2018,76.7,state board,14820,2,B.Tech/B.E.,mechanical engineering,67.66,14820,0,Andhra Pradesh,2022,205000
140069,f,25-07-1988,91.2,karnataka secondary school of examination,2006,84.63,karnataka pre university board,4437,2,B.Tech/B.E.,computer engineering,78.15,4437,0,Karnataka,2018,320000
1077918,m,04-06-1988,62.4,state board,2006,67.17,state board,2665,2,B.Tech/B.E.,electronics & telecommunications,60.14,2665,0,Maharashtra,2021,140000
633445,m,05-06-1991,81.2,cbse,2014,76.4,cbse,11630,2,B.Tech/B.E.,mechanical engineering,72.3,11630,0,Uttar Pradesh,2021,360000
844474,m,13-08-1992,69,cbse,2014,69,cbse,168,2,B.Tech/B.E.,computer science & engineering,66,168,0,Haryana,2021,195000
430002,m,29-01-1991,73,metric,2008,74,state,1227,2,B.Tech/B.E.,information technology,69.2,1227,1,Tamil Nadu,2020,310000
813473,f,17-07-1992,78.33,cbse,2008,67.6,cbse,15866,2,B.Tech/B.E.,computer science & engineering,65.72,15866,0,Haryana,2020,275000
280505,f,24-03-1990,86.6,board of secondary education,2007,92,board of intermediate,9775,2,B.Tech/B.E.,computer engineering,77.96,9775,1,Telangana,2019,515000
276354,f,14-01-1990,81,cbse,2007,77,cbse,10599,2,B.Tech/B.E.,information technology,82.9,10599,0,Punjab,2019,380000
327206,m,07-04-1988,61.6,maharashtra state board,2006,57.83,maharashtra state board,6196,2,B.Tech/B.E.,computer engineering,49.07,6196,0,Maharashtra,2021,350000
1192794,f,06-08-1992,85.83,state board,2018,86,state board,11554,2,B.Tech/B.E.,information technology,86,11554,0,Maharashtra,2022,265000
538185,m,17-08-1991,84.3,0,2014,86.5,0,6196,2,B.Tech/B.E.,electronics engineering,68.87,6196,0,Maharashtra,2021,380000
898205,m,24-03-1992,69.66,cbse,2014,69.6,cbse,66,2,B.Tech/B.E.,information technology,71.7,66,0,Uttar Pradesh,2022,340000
306449,m,12-08-1989,79.78,maharashtra sate board,2007,64,maharashtra state board,1281,2,B.Tech/B.E.,electronics & telecommunications,56.43,1281,1,Maharashtra,2019,280000
553697,m,25-12-1991,90.4,cbse,2014,80.4,cbse,48,1,B.Tech/B.E.,information technology,74,48,1,Delhi,2021,410000
313765,m,19-06-1989,79.66,ssc,2006,87,intermediate,5069,2,B.Tech/B.E.,mechanical engineering,74.1,5069,0,Andhra Pradesh,2018,300000
128849,m,28-07-1988,87,board of secondary education,2005,92,board of intermediate education,1428,2,B.Tech/B.E.,electrical engineering,63.96,1428,1,Telangana,2014,160000
425362,f,05-08-1991,65,cbse,2008,58,cbse,75,2,B.Tech/B.E.,information technology,70,75,0,Uttar Pradesh,2020,145000
1248085,m,26-07-1991,70.2,cbse,2014,61.8,state board,17633,2,B.Tech/B.E.,information technology,69,17633,0,Orissa,2022,150000
1048691,m,28-01-1993,73,icse,2018,62,cbse,78,2,B.Tech/B.E.,computer science & engineering,75,78,0,Uttar Pradesh,2022,145000
231229,m,15-11-1989,84.67,0,2006,86.46,0,264,1,B.Tech/B.E.,chemical engineering,85.8,264,1,Rajasthan,2019,730000
831967,m,08-05-1993,88.8,state board,2018,94.6,state board,9748,2,B.Tech/B.E.,electrical engineering,80.6,9748,1,Telangana,2022,305000
1107633,m,15-12-1992,64.4,cbse,2014,79.2,cbse,527,2,B.Tech/B.E.,computer science & engineering,70.14,527,0,Haryana,2021,180000
942616,m,05-09-1987,87.8,state board,2005,83.8,state board,10726,2,B.Tech/B.E.,computer science & engineering,80,10726,0,Tamil Nadu,2018,160000
639274,f,18-03-1992,85,state board,2014,94.6,state board,1141,2,B.Tech/B.E.,mechanical engineering,80.02,1141,0,Andhra Pradesh,2021,210000
1043845,f,14-10-1990,81,cbse,2014,66,cbse,14029,2,B.Tech/B.E.,computer science & engineering,80,14029,0,Orissa,2021,275000
237243,m,12-07-1988,71.66,hbse,2006,73.8,hbse,47,1,B.Tech/B.E.,computer engineering,63.88,47,1,Delhi,2020,150000
1119582,m,10-07-1992,91.2,state board,2018,77.8,cbse,17288,2,B.Tech/B.E.,information technology,77.8,17288,0,Orissa,2022,210000
863619,m,02-08-1991,83,cbse,2008,63,cbse,8451,2,B.Tech/B.E.,information technology,66,8451,0,Haryana,2021,160000
340788,m,26-02-1990,82.4,cbse,2008,68,cbse,7376,2,B.Tech/B.E.,computer engineering,67.23,7376,0,Uttar Pradesh,2020,485000
1037128,m,20-06-1992,88.2,cbse,2014,91,state board,12949,1,B.Tech/B.E.,computer science & engineering,75.7,12949,1,Telangana,2021,350000
1106216,m,15-01-1992,76.6,cbse,2018,72.8,cbse,10185,2,B.Tech/B.E.,computer science & engineering,76,10185,0,Haryana,2022,325000
349796,m,15-07-1991,85.3,0,2008,92.6,0,2929,2,B.Tech/B.E.,computer science & engineering,69.43,2929,0,Andhra Pradesh,2020,370000
1086480,m,09-06-1993,79.4,cbse,2018,80.4,cbse,6290,1,B.Tech/B.E.,computer science & engineering,71,6290,0,Himachal Pradesh,2022,320000
297128,m,04-12-1988,61,icse,2006,61.8,isc,2819,2,B.Tech/B.E.,information technology,62.2,2819,0,Uttar Pradesh,2020,200000
36296,m,29-08-1989,72.3,cbse,2006,95,andhra board,64,2,B.Tech/B.E.,information technology,70,64,0,Uttar Pradesh,2018,400000
514167,m,20-02-1990,57.67,uttar pradesh,2007,74,uttar pradesh,2540,2,B.Tech/B.E.,computer engineering,76.26,2540,0,Uttar Pradesh,2020,260000
806997,f,29-04-1991,66,cbse,2008,68,cbse,9508,2,B.Tech/B.E.,computer science & engineering,71,9508,0,Uttar Pradesh,2020,205000
283462,m,21-07-1990,80.33,up board,2006,89.6,up board,2097,2,B.Tech/B.E.,computer engineering,73.5,2097,0,Uttar Pradesh,2019,760000
216101,f,06-06-1991,55.6,up board,2007,68,cbse,350,2,B.Tech/B.E.,computer engineering,67.84,350,0,Uttar Pradesh,2019,180000
308164,m,05-07-1990,74.6,cbse,2007,73.4,cbse,350,2,B.Tech/B.E.,information technology,71.06,350,0,Uttar Pradesh,2020,370000
809634,m,11-07-1991,71,state boardmp board ,2014,70.8,state board,10389,2,B.Tech/B.E.,computer science & engineering,75,10389,0,Madhya Pradesh,2021,240000
1259589,m,18-03-1993,80,icse,2018,76,icse,11210,2,B.Tech/B.E.,mechanical engineering,80.6,11210,0,Chhattisgarh,2022,110000
578364,m,17-07-1989,73.2,cbse,2007,74.6,cbse,5399,2,B.Tech/B.E.,information technology,76.75,5399,0,Bihar,2019,150000
683018,m,12-05-1989,65.2,cbse,2008,62.2,cbse,100,2,B.Tech/B.E.,information technology,75.6,100,0,Haryana,2020,480000
385442,m,28-10-1990,81.2,cbse,2007,87.6,hbse,120,1,M.Tech./M.E.,information technology,8.89,120,0,Karnataka,2022,820000
